Nº	Padre do Deserto	Sentença
300	Abade Amun	"""Suporta todo homem assim como Deus te suporta."""
301	Abade Agatão	"Como no primeiro dia em que te chegares a eles, assim todos os dias da tua vida conserva a tua qualidade de estranho, de modo a não teres familiaridade com eles. A familiaridade se parece com um calor muito ardente, o qual, sempre que se produz, afugenta a todos e destrói os frutos das árvores. Não há outro afeto pior do que a familiaridade; com efeito, é a matriz de todas as paixões."
302	Abade Agatão	É preciso que o monge não deixe que a consciência o acuse em coisa nenhuma.
303	Abade Agatão	Sem a observância dos preceitos divinos, o homem não progride em uma só virtude que seja.
304	Abade Agatão	"Nunca adormeci tendo alguma coisa contra alguém; nem, enquanto o podia, deixei que alguém fosse dormir tendo algo contra mim."
305	Abade Agatão	"Aquelas (ser fornicador, soberbo, tagarela), eu as ponho em minha conta, pois são de proveito à minha alma; ser herege, porém, significa separar-se de Deus, e não me quero separar de Deus."
306	Abade Agatão	O homem se parece com uma árvore: o trabalho do corpo é como que a folhagem, enquanto a disciplina da alma é como que o fruto. É evidente que todo o nosso esforço deve visar ao fruto, isto é, à disciplina da alma.
307	Abade Agatão	"Desculpai-me, julgo que não há labor igual ao da oração a Deus. Pois, todas as vezes que o homem quer orar, tentam os inimigos arredá-lo; a oração, porém, até o último hálito requer luta."
308	Abade Agatão	Passou três anos com uma pedra na boca até que adquiriu o hábito do silêncio.
309	Abade Agatão	Ao vender ou comprar objetos, dizia o preço apenas uma vez e recebia ou dava o valor em silêncio e tranquilidade, sem proferir mais nada absolutamente.
310	Abade Agatão	"Nunca dei um ágape; mas o dar e o receber eram para mim ágape: julgava que o lucro de meu irmão é obra de frutificação."
311	Abade Agatão	O homem irascível, ainda que ressuscite um morto, não é agradável a Deus.
312	Abade Agatão	Vai, atira diante de Deus a tua fraqueza contra a fornicação, e encontrarás sossego.
313	Abade Agatão	Se alguém me fosse extremamente caro, e eu soubesse que ele me leva ao pecado, eu o afastaria de mim.
314	Abade Agatão	É preciso que, a toda hora, o homem se recorde do juízo de Deus.
315	Abade Agatão	Se me fosse possível encontrar um leproso e dar-lhe o meu corpo em troca do corpo dele, fá-lo-ia com prazer. Pois esta é a caridade perfeita.
316	Abade Agatão	"Até agora fiz o que pude para observar os mandamentos de Deus; sou homem, porém; como hei de saber se meu esforço agradou a Deus? Pois um é o modo de julgar de Deus, outro o dos homens."
317	Abade Amonas	Vai, e nutre em teu espírito os pensamentos que os malfeitores no cárcere revolvem. Perguntam sempre: quando há de vir o Diretor? E choram por causa da espera. Assim também o monge em todo tempo deve arguir a sua alma, dizendo: Ai de mim! Como posso apresentar-me ao tribunal de Cristo? Se com tais pensamentos estiver sempre ocupado o teu espírito, poderás ser salvo.
318	Abade Amonas	Passei na Cétia quatorze anos, pedindo a Deus, dia e noite, que me concedesse vencer a ira.
319	Abade Amonas	Senta-te em tua cela, come um pouco diariamente, e conserva a palavra do publicano em teu coração. Assim poderás ser salvo.
320	Abade Amonas	Para que não esteja eu sempre a vaguear na medida em que se precipitam os meus pensamentos — esta é também uma lição para que com estabilidade caminhemos na via do Senhor.
321	Abade Amonas	Rogo-te, Senhor meu Deus, não deixes perecer a tua criatura.
322	Abade Amonas	"Quanto esforço fiz no deserto para possuir esta loucura; e eis que por causa de ti estou para a perder hoje!"
323	Abade Amonas	A via estreita e atribulada é esta: Fazer violência aos seus pensamentos, e, por causa de Deus, cortar a vontade própria. É assim que se realiza o dito: Eis que deixamos tudo, e seguimos a ti.
324	Abade Antão	"Senhor, quero ser salvo, e não me deixam os pensamentos; que farei na minha tribulação? Como serei salvo?"
325	Abade Antão	Antão, cuida de ti mesmo, pois isto são juízos de Deus, e não te convém penetrá-los.
326	Abade Antão	"Em qualquer lugar para onde vás, tem sempre Deus ante os olhos; qualquer coisa que faças, procura ter o testemunho das Sagradas Escrituras: e, de qualquer lugar em que residas, não te movas facilmente."
327	Abade Antão	Esta é a grande labuta do homem: assumir sobre si mesmo a culpa própria diante de Deus, e esperar a tentação até o último suspiro.
328	Abade Antão	Ninguém sem tentação poderá entrar no reino dos céus. Suprime as tentações, e ninguém será salvo.
329	Abade Antão	Não confies em tua justiça, nem te arrependas do que já passou, e sê continente de língua e de ventre.
330	Abade Antão	Vi todas as armadilhas do inimigo estendidas sobre a terra, e, gemendo, perguntei: Quem escapará a elas? Ouvi então uma voz que me dizia: A humildade.
331	Abade Antão	Há alguns que consomem o corpo em ascese, e, por não terem discrição, se afastam de Deus.
332	Abade Antão	"Do próximo dependem a vida e a morte; pois, se lucramos o nosso irmão, lucramos a Deus. Se, porém, escandalizamos o irmão, pecamos contra Cristo."
333	Abade Antão	Como os peixes que se demoram na terra seca morrem, assim também os monges, permanecendo fora da cela ou vivendo com seculares, se relaxam da tensão da vida recolhida. É preciso, pois, que, como o peixe para o mar, assim também nos apressemos para a cela.
334	Abade Antão	"Quem permanece no deserto e lá vive tranquilamente, liberta-se de três combates: o dos ouvidos, o da conversa e o dos olhos; só lhe resta um: o da fornicação."
335	Abade Antão	Tempo virá em que os homens enlouquecerão, e, ao verem alguém que não esteja louco, se erguerão contra ele, dizendo: Tu és louco, porque não será semelhante a eles.
336	Abade Antão	Já não temo a Deus, mas amo-o. Pois a caridade expele o temor.
337	Abade Antão	Tem sempre ante os olhos o temor de Deus. Odiai o mundo e tudo que nele há. Odiai todo repouso da carne. Renunciai a esta vida, a fim de viverdes para Deus. Sofrei fome, sede, suportai a nudez, vigiai, arrependei-vos, chorai, gemei no vosso coração.
338	Abade Antão	Quem bate a massa de ferro delibera primeiro o que fará: foice, espada ou machado. Assim também nós devemos deliberar qual virtude procuraremos adquirir, para que não trabalhemos em vão.
339	Abade Antão	A obediência, unida à abstinência, submete as feras.
340	Abade Antão	Conheço monges que, após muitas fadigas, caíram, porque nutriram esperança nas suas próprias obras e negligenciaram o preceito de interrogar seu pai espiritual.
341	Abade Antão	Se possível, o monge deve dizer aos anciãos quantos passos dá ou quantas gotas bebe na cela, para se certificar de que não ofende nessas práticas.
342	Abade Arsênio	Arsênio, foge dos homens, e serás salvo.
343	Abade Arsênio	Arsênio, foge, cala-te, está tranquilo, pois estas são as raízes da impecância.
344	Abade Arsênio	"Ó Deus, não me abandones; nada fiz de bom em tua presença; mas, conforme a tua bondade, concede-me lançar o princípio."
345	Abade Arsênio	Nós pela erudição do mundo nada temos, enquanto estes, os camponeses e egípcios, pelo próprio labor é que adquiriram as virtudes.
346	Abade Arsênio	Com toda a força que tens, luta para que a tua labuta interior seja conforme Deus, e vencerás as paixões exteriores.
347	Abade Arsênio	"Se procurarmos a Deus, aparecer-nos-á; e, se o guardarmos, permanecerá conosco."
348	Abade Arsênio	"Deus sabe que vos amo; não posso, porém, estar com Deus e com os homens. Não posso, por conseguinte, deixar Deus e vir para junto dos homens."
349	Abade Arsênio	O monge basta dormir uma hora, se, de fato, é um lutador.
350	Abade Arsênio	"De ter falado, arrependi-me muitas vezes; de me ter calado, nunca."
351	Abade Arsênio	"Enquanto a virgem está em casa de seu pai, muitos são os que a querem desposar; se as coisas da alma são publicadas, não podem satisfazer a todos."
352	Abade Cassiano	"O jejum está sempre comigo; a vós, porém, não posso guardar sempre. O jejum é coisa útil e necessária; depende da nossa própria vontade; o exercício da caridade, ao contrário, a Lei de Deus no-lo impõe com necessidade. Portanto, ao receber em vós o Cristo, devo tratar-vos com toda a solicitude."
353	Abade Cassiano	Jamais fiz a própria vontade, nem ensinei a alguém o que antes não tivesse praticado.
354	Abade Cassiano	"Enquanto falávamos de coisas celestiais, os olhos de todos vós estavam dominados pelo sono; quando, porém, escapou uma palavra ociosa, todos com ânimo vos acordastes. Irmãos, reconhecei a ação do mau demônio, e vigiai contra o torpor nas coisas espirituais."
355	Abade Cassiano	Deixaste de ser Senador, e não te fizeste monge.
356	Abade Evágrio	Quando estiveres sentado na cela, recolhe o teu espírito, recorda-te do dia da morte, considera o desfalecimento do corpo, pensa na desgraça. Recorda-te também da situação no inferno: medita como lá estão as almas, em que mui terrível silêncio, em que acutíssimo gemido.
357	Abade Evágrio	Deixa de ter relações com muitos homens, a fim de que a tua mente não se torne agitada, e perturbe a habitual tranquilidade.
358	Abade Evágrio	"Grande coisa é rezar sem distração; ainda maior, porém, é salmodiar sem distração."
359	Abade Evágrio	"Recorda-te sempre de tua partida deste mundo, e não esqueças o juízo eterno; assim não haverá pecado em tua alma."
360	Abade Evágrio	Retira as tentações, e não haverá ninguém que se salve.
361	Abade Evágrio	Um regime de vida duro e não inconstante, unido à caridade, leva muito rapidamente o monge ao porto da apatia — vitória sobre as paixões.
362	Abade Macário	Fui falsamente acusado de engravidar uma virgem. Aceitei a humilhação, trabalhando para sustentá-la, até que a verdade foi revelada durante o parto. Então fugi para a Cétia, a fim de que não me atribulassem os homens. Este é o motivo pelo qual vim para cá.
